benchmark=e-str-rep,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/e-str-rep-new/2184/sink.s3,1,0.167842
benchmark/laut/e-str-rep-new/12871/sink.s3,1,0.115629
benchmark/laut/e-str-rep-new/6347/sink.s3,0,0.472061
benchmark/laut/e-str-rep-new/8275/sink.s3,x,0.0
benchmark/laut/e-str-rep-new/14787/sink.s3,0,0.034891
benchmark/laut/e-str-rep-new/8277/sink.s3,1,0.874148
benchmark/laut/e-str-rep-new/2174/sink.s3,x,0.0
benchmark/laut/e-str-rep-new/3049/sink.s3,x,0.0
benchmark/laut/e-str-rep-new/12116/sink.s3,0,0.736524
benchmark/laut/e-str-rep-new/29326/sink.s3,0,0.074284
benchmark/laut/e-str-rep-new/14050/sink.s3,0,0.423959
benchmark/laut/e-str-rep-new/2166/sink.s3,1,1.023658
benchmark/laut/e-str-rep-new/2181/sink.s3,1,0.120618
benchmark/laut/e-str-rep-new/16769/sink.s3,1,0.123801
benchmark/laut/e-str-rep-new/7102/sink.s3,1,0.220651
benchmark/laut/e-str-rep-new/10204/sink.s3,x,0.0
benchmark/laut/e-str-rep-new/14048/sink.s3,x,0.0
benchmark/laut/e-str-rep-new/3237/sink.s3,1,0.218932
benchmark/laut/e-str-rep-new/16778/sink.s3,1,0.472399
benchmark/laut/e-str-rep-new/29348/sink.s3,1,0.170367
benchmark/laut/e-str-rep-new/29300/sink.s3,0,0.068490
benchmark/laut/e-str-rep-new/15962/sink.s3,1,0.773839
benchmark/laut/e-str-rep-new/16749/sink.s3,1,0.115474
benchmark/laut/e-str-rep-new/2179/sink.s3,1,0.118531
benchmark/laut/e-str-rep-new/12114/sink.s3,x,0.000000
benchmark/laut/e-str-rep-new/5169/sink.s3,x,0.0
benchmark/laut/e-str-rep-new/2182/sink.s3,1,0.066459
benchmark/laut/e-str-rep-new/2164/sink.s3,x,0.0
benchmark/laut/e-str-rep-new/2176/sink.s3,x,0.0
benchmark/laut/e-str-rep-new/15960/sink.s3,0,0.119584
benchmark/laut/e-str-rep-new/2992/sink.s3,x,0.0
benchmark/laut/e-str-rep-new/4413/sink.s3,x,0.0
benchmark/laut/e-str-rep-new/2183/sink.s3,x,0.0
benchmark/laut/e-str-rep-new/4415/sink.s3,1,0.770822
benchmark/laut/e-str-rep-new/2180/sink.s3,x,0.0
benchmark/laut/e-str-rep-new/2178/sink.s3,1,0.117629
benchmark/laut/e-str-rep-new/10934/sink.s3,1,0.116574
benchmark/laut/e-str-rep-new/3072/sink.s3,x,0.0
benchmark/laut/e-str-rep-new/598/sink.s3,1,0.117463
benchmark/laut/e-str-rep-new/9032/sink.s3,1,0.118156
benchmark/laut/e-str-rep-new/6345/sink.s3,x,0.000000
benchmark/laut/e-str-rep-new/29337/sink.s3,0,0.118533
benchmark/laut/e-str-rep-new/10206/sink.s3,1,0.781315
benchmark/laut/e-str-rep-new/16760/sink.s3,1,0.624144