benchmark=e_str_rep,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/e_str_rep/6345/sink.s3,x,0.000000
benchmark/laut/e_str_rep/2992/sink.s3,1,0.820349
benchmark/laut/e_str_rep/15962/sink.s3,1,0.822259
benchmark/laut/e_str_rep/2181/sink.s3,1,0.116439
benchmark/laut/e_str_rep/14787/sink.s3,0,0.069927
benchmark/laut/e_str_rep/16769/sink.s3,1,0.119512
benchmark/laut/e_str_rep/598/sink.s3,1,0.169347
benchmark/laut/e_str_rep/15960/sink.s3,0,0.118420
benchmark/laut/e_str_rep/3072/sink.s3,x,0.0
benchmark/laut/e_str_rep/16778/sink.s3,x,0.0
benchmark/laut/e_str_rep/12114/sink.s3,1,0.168112
benchmark/laut/e_str_rep/10204/sink.s3,1,0.219667
benchmark/laut/e_str_rep/2180/sink.s3,x,0.0
benchmark/laut/e_str_rep/5169/sink.s3,x,0.0
benchmark/laut/e_str_rep/14050/sink.s3,0,0.622532
benchmark/laut/e_str_rep/2164/sink.s3,x,0.0
benchmark/laut/e_str_rep/3237/sink.s3,1,0.218423
benchmark/laut/e_str_rep/29337/sink.s3,0,0.119307
benchmark/laut/e_str_rep/6347/sink.s3,0,0.671530
benchmark/laut/e_str_rep/12116/sink.s3,0,0.519365
benchmark/laut/e_str_rep/9032/sink.s3,1,0.167716
benchmark/laut/e_str_rep/8277/sink.s3,t,0.0
benchmark/laut/e_str_rep/7102/sink.s3,1,0.167994
benchmark/laut/e_str_rep/29300/sink.s3,0,0.070941
benchmark/laut/e_str_rep/2176/sink.s3,1,0.820712
benchmark/laut/e_str_rep/2174/sink.s3,1,0.871088
benchmark/laut/e_str_rep/2184/sink.s3,1,0.121068
benchmark/laut/e_str_rep/12871/sink.s3,1,0.115919
benchmark/laut/e_str_rep/3049/sink.s3,1,0.771699
benchmark/laut/e_str_rep/2179/sink.s3,1,0.119083
benchmark/laut/e_str_rep/2178/sink.s3,1,0.119376
benchmark/laut/e_str_rep/2166/sink.s3,t,0.0
benchmark/laut/e_str_rep/10934/sink.s3,1,0.471345
benchmark/laut/e_str_rep/10206/sink.s3,1,0.870289
benchmark/laut/e_str_rep/2182/sink.s3,1,0.120090
benchmark/laut/e_str_rep/29326/sink.s3,0,0.119653
benchmark/laut/e_str_rep/4415/sink.s3,1,0.927561
benchmark/laut/e_str_rep/16760/sink.s3,1,0.166925
benchmark/laut/e_str_rep/16749/sink.s3,1,0.117145
benchmark/laut/e_str_rep/4413/sink.s3,1,0.221939
benchmark/laut/e_str_rep/29348/sink.s3,1,0.171595
benchmark/laut/e_str_rep/8275/sink.s3,x,0.0
benchmark/laut/e_str_rep/2183/sink.s3,x,0.0
benchmark/laut/e_str_rep/14048/sink.s3,1,0.223182