benchmark=f_lan_rep_nt,solver=ic3ia,TO=600.000000
path,sat,time,step
benchmark/laut/f_lan_rep_nt/8201/sink.vmt,1,1.929626,21
benchmark/laut/f_lan_rep_nt/12040/sink.vmt,1,2.175891,30
benchmark/laut/f_lan_rep_nt/6271/sink.vmt,0,12.370398,27
benchmark/laut/f_lan_rep_nt/3307/sink.vmt,1,3.943193,20
benchmark/laut/f_lan_rep_nt/1972/sink.vmt,0,7.395883,27
benchmark/laut/f_lan_rep_nt/14857/sink.vmt,1,100.981750,143
benchmark/laut/f_lan_rep_nt/4335/sink.vmt,1,7.890229,32
benchmark/laut/f_lan_rep_nt/15871/sink.vmt,0,210.853002,152
benchmark/laut/f_lan_rep_nt/15870/sink.vmt,1,303.092263,160
benchmark/laut/f_lan_rep_nt/8185/sink.vmt,1,6.569807,24
benchmark/laut/f_lan_rep_nt/1987/sink.vmt,1,28.290584,26
benchmark/laut/f_lan_rep_nt/9102/sink.vmt,1,0.985512,9
benchmark/laut/f_lan_rep_nt/13959/sink.vmt,1,35.312169,59
benchmark/laut/f_lan_rep_nt/6255/sink.vmt,1,20.024829,33
benchmark/laut/f_lan_rep_nt/8197/sink.vmt,0,3.160945,21
benchmark/laut/f_lan_rep_nt/7172/sink.vmt,1,0.575371,5
benchmark/laut/f_lan_rep_nt/13970/sink.vmt,0,8.721887,55
benchmark/laut/f_lan_rep_nt/6256/sink.vmt,t,0.0,0
benchmark/laut/f_lan_rep_nt/13974/sink.vmt,0,11.656252,62
benchmark/laut/f_lan_rep_nt/15886/sink.vmt,0,113.226231,148
benchmark/laut/f_lan_rep_nt/16755/sink.vmt,t,0.0,0
benchmark/laut/f_lan_rep_nt/12024/sink.vmt,0,4.317944,27
benchmark/laut/f_lan_rep_nt/13958/sink.vmt,1,17.269572,68
benchmark/laut/f_lan_rep_nt/1971/sink.vmt,1,20.642967,26
benchmark/laut/f_lan_rep_nt/16764/sink.vmt,t,0.0,0
benchmark/laut/f_lan_rep_nt/4323/sink.vmt,1,96.748356,53
benchmark/laut/f_lan_rep_nt/11004/sink.vmt,1,1.028116,12
benchmark/laut/f_lan_rep_nt/16773/sink.vmt,t,0.0,0
benchmark/laut/f_lan_rep_nt/10130/sink.vmt,1,1.181476,25
benchmark/laut/f_lan_rep_nt/10126/sink.vmt,1,1.781578,26
benchmark/laut/f_lan_rep_nt/12036/sink.vmt,1,2.242413,30
benchmark/laut/f_lan_rep_nt/16744/sink.vmt,t,0.0,0
benchmark/laut/f_lan_rep_nt/689/sink.vmt,1,1.177845,10
benchmark/laut/f_lan_rep_nt/12025/sink.vmt,1,8.438282,36
benchmark/laut/f_lan_rep_nt/5239/sink.vmt,1,7.390821,16
benchmark/laut/f_lan_rep_nt/8186/sink.vmt,1,1.886065,21
benchmark/laut/f_lan_rep_nt/1983/sink.vmt,1,1.029807,25
benchmark/laut/f_lan_rep_nt/6267/sink.vmt,1,164.183272,33
benchmark/laut/f_lan_rep_nt/10115/sink.vmt,1,1.240251,25
benchmark/laut/f_lan_rep_nt/4339/sink.vmt,1,61.288152,32
benchmark/laut/f_lan_rep_nt/12941/sink.vmt,0,29.719666,40
benchmark/laut/f_lan_rep_nt/15882/sink.vmt,1,267.097723,160
benchmark/laut/f_lan_rep_nt/10114/sink.vmt,1,51.600798,44
benchmark/laut/f_lan_rep_nt/4324/sink.vmt,1,1.475541,27