benchmark=f_lan_rep_nt,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/f_lan_rep_nt/8201/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/12040/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/6271/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/3307/sink.s3,x,0.0
benchmark/laut/f_lan_rep_nt/1972/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/14857/sink.s3,x,0.0
benchmark/laut/f_lan_rep_nt/4335/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/15871/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/15870/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/8185/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/1987/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/9102/sink.s3,x,0.0
benchmark/laut/f_lan_rep_nt/13959/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/6255/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/8197/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/7172/sink.s3,x,0.0
benchmark/laut/f_lan_rep_nt/13970/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/6256/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/13974/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/15886/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/16755/sink.s3,0,41.267844
benchmark/laut/f_lan_rep_nt/12024/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/13958/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/1971/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/16764/sink.s3,x,0.0
benchmark/laut/f_lan_rep_nt/4323/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/11004/sink.s3,x,0.0
benchmark/laut/f_lan_rep_nt/16773/sink.s3,0,41.055662
benchmark/laut/f_lan_rep_nt/10130/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/10126/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/12036/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/16744/sink.s3,0,41.315357
benchmark/laut/f_lan_rep_nt/689/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/12025/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/5239/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/8186/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/1983/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/6267/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/10115/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/4339/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/12941/sink.s3,0,0.039938
benchmark/laut/f_lan_rep_nt/15882/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/10114/sink.s3,x,0.000000
benchmark/laut/f_lan_rep_nt/4324/sink.s3,x,0.000000