benchmark=f_lan_rep_nt,solver=trau,TO=600.000000
path,sat,time
benchmark/laut/f_lan_rep_nt/12024/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/10130/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/5239/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/1987/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/6255/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/12941/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/9102/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/6271/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/12036/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/13959/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/1971/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/3307/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/10114/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/13970/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/11004/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/6256/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/16773/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/10115/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/15870/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/689/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/15886/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/13958/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/4339/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/4335/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/1983/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/16764/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/4324/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/15871/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/7172/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/8201/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/1972/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/10126/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/8185/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/13974/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/16744/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/8197/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/16755/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/8186/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/15882/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/6267/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/4323/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/14857/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/12040/sink.trau,x,0.0
benchmark/laut/f_lan_rep_nt/12025/sink.trau,x,0.0