benchmark=g_lan_rep,solver=s3p,TO=600.000000
path,sat,time
benchmark/laut/g_lan_rep_t/92/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/118/sink.s3,0,42.587173
benchmark/laut/g_lan_rep_t/886/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/108/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/64/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/80/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/11165/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/102/sink.s3,0,41.726232
benchmark/laut/g_lan_rep_t/15002/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/3468/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/16239/sink.s3,0,0.470467
benchmark/laut/g_lan_rep_t/112/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/13094/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/60/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/86/sink.s3,0,41.722039
benchmark/laut/g_lan_rep_t/13102/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/5400/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/94/sink.s3,t,0.0
benchmark/laut/g_lan_rep_t/119/sink.s3,0,5.863432
benchmark/laut/g_lan_rep_t/870/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/110/sink.s3,0,44.835279
benchmark/laut/g_lan_rep_t/95/sink.s3,x,0.0
benchmark/laut/g_lan_rep_t/104/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/10483/sink.s3,0,0.469852
benchmark/laut/g_lan_rep_t/3460/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/68/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/72/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/8554/sink.s3,0,0.520852
benchmark/laut/g_lan_rep_t/13086/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/63/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/15010/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/70/sink.s3,0,44.382266
benchmark/laut/g_lan_rep_t/9247/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/11157/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/14327/sink.s3,0,0.419900
benchmark/laut/g_lan_rep_t/11149/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/5384/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/76/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/71/sink.s3,0,0.119866
benchmark/laut/g_lan_rep_t/9263/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/120/sink.s3,0,36.209049
benchmark/laut/g_lan_rep_t/116/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/5392/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/15018/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/6624/sink.s3,0,0.522755
benchmark/laut/g_lan_rep_t/2548/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/7333/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/62/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/7325/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/16674/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/100/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/96/sink.s3,0,36.102451
benchmark/laut/g_lan_rep_t/3452/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/4692/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/111/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/7317/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/878/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/87/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/88/sink.s3,0,36.349711
benchmark/laut/g_lan_rep_t/12393/sink.s3,0,0.470536
benchmark/laut/g_lan_rep_t/9255/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/78/sink.s3,0,44.525681
benchmark/laut/g_lan_rep_t/79/sink.s3,x,0.0
benchmark/laut/g_lan_rep_t/84/sink.s3,x,0.000000
benchmark/laut/g_lan_rep_t/103/sink.s3,x,0.000000