benchmark=x-str-rep,solver=cvc4,TO=20.000000
path,sat,time
benchmark/laut/x-str-rep/8277/sink.smt2,t,0.0
benchmark/laut/x-str-rep/17045/sink.smt2,1,0.216620
benchmark/laut/x-str-rep/17081/sink.smt2,1,0.215986
benchmark/laut/x-str-rep/2992/sink.smt2,0,0.065875
benchmark/laut/x-str-rep/16958/sink.smt2,1,0.215973
benchmark/laut/x-str-rep/22460/sink.smt2,t,0.0
benchmark/laut/x-str-rep/17671/sink.smt2,1,0.317050
benchmark/laut/x-str-rep/4415/sink.smt2,1,0.116209
benchmark/laut/x-str-rep/20916/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/21073/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/29618/sink.smt2,t,0.0
benchmark/laut/x-str-rep/31391/sink.smt2,1,0.066642
benchmark/laut/x-str-rep/29952/sink.smt2,t,0.0
benchmark/laut/x-str-rep/19154/sink.smt2,t,0.0
benchmark/laut/x-str-rep/19192/sink.smt2,t,0.0
benchmark/laut/x-str-rep/4414/sink.smt2,1,0.066280
benchmark/laut/x-str-rep/10934/sink.smt2,1,0.065467
benchmark/laut/x-str-rep/19767/sink.smt2,t,0.0
benchmark/laut/x-str-rep/29717/sink.smt2,t,0.0
benchmark/laut/x-str-rep/2174/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/29796/sink.smt2,t,0.0
benchmark/laut/x-str-rep/20896/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/17434/sink.smt2,1,0.266119
benchmark/laut/x-str-rep/3049/sink.smt2,0,0.065936
benchmark/laut/x-str-rep/24787/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/24868/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/19302/sink.smt2,t,0.0
benchmark/laut/x-str-rep/12871/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/21006/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/17552/sink.smt2,1,0.266189
benchmark/laut/x-str-rep/24872/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/20652/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/6347/sink.smt2,t,0.0
benchmark/laut/x-str-rep/31650/sink.smt2,1,0.066029
benchmark/laut/x-str-rep/26235/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/18974/sink.smt2,t,0.0
benchmark/laut/x-str-rep/20751/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/8275/sink.smt2,t,0.0
benchmark/laut/x-str-rep/23165/sink.smt2,1,0.067264
benchmark/laut/x-str-rep/2183/sink.smt2,1,0.065496
benchmark/laut/x-str-rep/29438/sink.smt2,t,0.0
benchmark/laut/x-str-rep/21420/sink.smt2,t,0.0
benchmark/laut/x-str-rep/17149/sink.smt2,1,0.166621
benchmark/laut/x-str-rep/21359/sink.smt2,t,0.0
benchmark/laut/x-str-rep/21170/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/20954/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/30115/sink.smt2,t,0.0
benchmark/laut/x-str-rep/20771/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/598/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/29505/sink.smt2,t,0.0
benchmark/laut/x-str-rep/19595/sink.smt2,t,0.0
benchmark/laut/x-str-rep/20937/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/18168/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/31677/sink.smt2,1,0.065963
benchmark/laut/x-str-rep/29485/sink.smt2,t,0.0
benchmark/laut/x-str-rep/19854/sink.smt2,1,0.066543
benchmark/laut/x-str-rep/21041/sink.smt2,t,0.0
benchmark/laut/x-str-rep/32927/sink.smt2,1,0.116050
benchmark/laut/x-str-rep/20560/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/20850/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/21149/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/17409/sink.smt2,1,2.770458
benchmark/laut/x-str-rep/30095/sink.smt2,t,0.0
benchmark/laut/x-str-rep/30220/sink.smt2,t,0.0
benchmark/laut/x-str-rep/19209/sink.smt2,t,0.0
benchmark/laut/x-str-rep/19233/sink.smt2,t,0.0
benchmark/laut/x-str-rep/14048/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/29526/sink.smt2,t,0.0
benchmark/laut/x-str-rep/31893/sink.smt2,1,0.065955
benchmark/laut/x-str-rep/23452/sink.smt2,1,0.065290
benchmark/laut/x-str-rep/17979/sink.smt2,1,0.216193
benchmark/laut/x-str-rep/2178/sink.smt2,1,0.115914
benchmark/laut/x-str-rep/29816/sink.smt2,t,0.0
benchmark/laut/x-str-rep/29862/sink.smt2,t,0.0
benchmark/laut/x-str-rep/20539/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/8291/sink.smt2,t,0.0
benchmark/laut/x-str-rep/2184/sink.smt2,1,0.066329
benchmark/laut/x-str-rep/19088/sink.smt2,t,0.0
benchmark/laut/x-str-rep/22356/sink.smt2,t,0.0
benchmark/laut/x-str-rep/22512/sink.smt2,t,0.0
benchmark/laut/x-str-rep/22213/sink.smt2,t,0.0
benchmark/laut/x-str-rep/25037/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/19488/sink.smt2,0,0.115905
benchmark/laut/x-str-rep/2164/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/20519/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/21416/sink.smt2,0,0.065794
benchmark/laut/x-str-rep/12114/sink.smt2,0,0.115625
benchmark/laut/x-str-rep/12130/sink.smt2,0,0.065383
benchmark/laut/x-str-rep/29990/sink.smt2,0,0.115723
benchmark/laut/x-str-rep/30184/sink.smt2,0,0.115911
benchmark/laut/x-str-rep/19137/sink.smt2,0,0.115993
benchmark/laut/x-str-rep/10204/sink.smt2,0,0.165986
benchmark/laut/x-str-rep/29348/sink.smt2,0,0.065984
benchmark/laut/x-str-rep/29837/sink.smt2,0,0.116011
benchmark/laut/x-str-rep/2182/sink.smt2,0,0.065866
benchmark/laut/x-str-rep/2185/sink.smt2,0,0.065783
benchmark/laut/x-str-rep/19745/sink.smt2,0,0.115684
benchmark/laut/x-str-rep/10220/sink.smt2,0,0.065003
benchmark/laut/x-str-rep/33236/sink.smt2,0,0.064990
benchmark/laut/x-str-rep/20623/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/6346/sink.smt2,0,0.064922
benchmark/laut/x-str-rep/23472/sink.smt2,0,0.065843
benchmark/laut/x-str-rep/22530/sink.smt2,0,0.115680
benchmark/laut/x-str-rep/19755/sink.smt2,0,0.065471
benchmark/laut/x-str-rep/30007/sink.smt2,0,0.065426
benchmark/laut/x-str-rep/22141/sink.smt2,0,0.115704
benchmark/laut/x-str-rep/30552/sink.smt2,0,0.065636
benchmark/laut/x-str-rep/19373/sink.smt2,0,0.115749
benchmark/laut/x-str-rep/8280/sink.smt2,0,0.116109
benchmark/laut/x-str-rep/29462/sink.smt2,0,0.116053
benchmark/laut/x-str-rep/29569/sink.smt2,0,0.116111
benchmark/laut/x-str-rep/2179/sink.smt2,0,0.065904
benchmark/laut/x-str-rep/20830/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/22066/sink.smt2,0,0.115551
benchmark/laut/x-str-rep/15962/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/29589/sink.smt2,0,0.115853
benchmark/laut/x-str-rep/30060/sink.smt2,0,0.115756
benchmark/laut/x-str-rep/30166/sink.smt2,0,0.115926
benchmark/laut/x-str-rep/30320/sink.smt2,0,0.065974
benchmark/laut/x-str-rep/21218/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/19826/sink.smt2,0,0.065551
benchmark/laut/x-str-rep/15976/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/21200/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/29326/sink.smt2,0,0.065535
benchmark/laut/x-str-rep/17856/sink.smt2,0,0.116000
benchmark/laut/x-str-rep/19332/sink.smt2,0,0.115870
benchmark/laut/x-str-rep/17131/sink.smt2,0,0.115835
benchmark/laut/x-str-rep/14050/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/19041/sink.smt2,0,0.115801
benchmark/laut/x-str-rep/17014/sink.smt2,0,0.116081
benchmark/laut/x-str-rep/4413/sink.smt2,0,0.216199
benchmark/laut/x-str-rep/8276/sink.smt2,0,0.066033
benchmark/laut/x-str-rep/29601/sink.smt2,0,0.115873
benchmark/laut/x-str-rep/19630/sink.smt2,0,0.116138
benchmark/laut/x-str-rep/3237/sink.smt2,0,0.115992
benchmark/laut/x-str-rep/24522/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/17951/sink.smt2,0,0.116034
benchmark/laut/x-str-rep/19253/sink.smt2,0,0.116131
benchmark/laut/x-str-rep/4429/sink.smt2,0,0.116099
benchmark/laut/x-str-rep/26083/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/29697/sink.smt2,0,0.115855
benchmark/laut/x-str-rep/21024/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/18213/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/21110/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/17301/sink.smt2,0,0.116116
benchmark/laut/x-str-rep/29300/sink.smt2,0,0.065661
benchmark/laut/x-str-rep/22257/sink.smt2,0,0.115714
benchmark/laut/x-str-rep/30210/sink.smt2,0,0.115810
benchmark/laut/x-str-rep/29737/sink.smt2,0,0.116064
benchmark/laut/x-str-rep/30076/sink.smt2,0,0.115935
benchmark/laut/x-str-rep/19526/sink.smt2,0,0.116176
benchmark/laut/x-str-rep/19574/sink.smt2,0,0.116060
benchmark/laut/x-str-rep/21254/sink.smt2,0,0.115276
benchmark/laut/x-str-rep/26181/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/22158/sink.smt2,0,0.115664
benchmark/laut/x-str-rep/24814/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/20986/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/17461/sink.smt2,0,0.115959
benchmark/laut/x-str-rep/2200/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/21380/sink.smt2,0,0.065737
benchmark/laut/x-str-rep/22377/sink.smt2,0,0.115796
benchmark/laut/x-str-rep/19611/sink.smt2,0,0.115921
benchmark/laut/x-str-rep/30039/sink.smt2,0,0.115986
benchmark/laut/x-str-rep/21602/sink.smt2,0,0.116226
benchmark/laut/x-str-rep/18138/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/20586/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/22129/sink.smt2,0,0.115709
benchmark/laut/x-str-rep/10205/sink.smt2,0,0.066039
benchmark/laut/x-str-rep/30232/sink.smt2,0,0.115801
benchmark/laut/x-str-rep/17803/sink.smt2,0,0.115901
benchmark/laut/x-str-rep/12119/sink.smt2,0,0.116061
benchmark/laut/x-str-rep/2166/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/17575/sink.smt2,0,0.115987
benchmark/laut/x-str-rep/30136/sink.smt2,0,0.116008
benchmark/laut/x-str-rep/26154/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/17916/sink.smt2,0,0.115709
benchmark/laut/x-str-rep/19701/sink.smt2,0,0.116155
benchmark/laut/x-str-rep/20871/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/16927/sink.smt2,0,0.115430
benchmark/laut/x-str-rep/15960/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/21266/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/22547/sink.smt2,0,0.065458
benchmark/laut/x-str-rep/19021/sink.smt2,0,0.115900
benchmark/laut/x-str-rep/16988/sink.smt2,0,0.116025
benchmark/laut/x-str-rep/17218/sink.smt2,0,0.116086
benchmark/laut/x-str-rep/22196/sink.smt2,0,0.116099
benchmark/laut/x-str-rep/29656/sink.smt2,0,0.116141
benchmark/laut/x-str-rep/25888/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/7102/sink.smt2,1,19.809947
benchmark/laut/x-str-rep/29882/sink.smt2,0,0.115834
benchmark/laut/x-str-rep/21331/sink.smt2,0,0.065602
benchmark/laut/x-str-rep/14787/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/17892/sink.smt2,0,0.115935
benchmark/laut/x-str-rep/29673/sink.smt2,0,0.115806
benchmark/laut/x-str-rep/21094/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/17728/sink.smt2,0,0.115676
benchmark/laut/x-str-rep/19273/sink.smt2,0,0.116085
benchmark/laut/x-str-rep/19456/sink.smt2,0,0.115935
benchmark/laut/x-str-rep/22443/sink.smt2,0,0.115995
benchmark/laut/x-str-rep/29903/sink.smt2,0,0.116001
benchmark/laut/x-str-rep/2165/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/2181/sink.smt2,1,3.672264
benchmark/laut/x-str-rep/30292/sink.smt2,0,0.066227
benchmark/laut/x-str-rep/21129/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/20496/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/21978/sink.smt2,0,0.115486
benchmark/laut/x-str-rep/32993/sink.smt2,0,0.065676
benchmark/laut/x-str-rep/29972/sink.smt2,0,0.115685
benchmark/laut/x-str-rep/23506/sink.smt2,0,0.065856
benchmark/laut/x-str-rep/19105/sink.smt2,0,0.115696
benchmark/laut/x-str-rep/19719/sink.smt2,0,0.116029
benchmark/laut/x-str-rep/20690/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/17271/sink.smt2,0,0.115788
benchmark/laut/x-str-rep/17327/sink.smt2,0,0.115854
benchmark/laut/x-str-rep/10209/sink.smt2,0,0.115915
benchmark/laut/x-str-rep/17829/sink.smt2,0,0.116114
benchmark/laut/x-str-rep/26404/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/18101/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/19418/sink.smt2,0,0.115871
benchmark/laut/x-str-rep/17104/sink.smt2,0,0.116130
benchmark/laut/x-str-rep/31586/sink.smt2,0,0.065715
benchmark/laut/x-str-rep/22492/sink.smt2,0,0.115515
benchmark/laut/x-str-rep/29337/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/19650/sink.smt2,0,0.115775
benchmark/laut/x-str-rep/19911/sink.smt2,0,0.065723
benchmark/laut/x-str-rep/20603/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/33020/sink.smt2,0,0.065689
benchmark/laut/x-str-rep/19125/sink.smt2,0,0.115865
benchmark/laut/x-str-rep/2180/sink.smt2,0,0.116023
benchmark/laut/x-str-rep/29766/sink.smt2,0,0.116013
benchmark/laut/x-str-rep/18493/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/17241/sink.smt2,0,0.116014
benchmark/laut/x-str-rep/22306/sink.smt2,0,0.116112
benchmark/laut/x-str-rep/17363/sink.smt2,0,0.116037
benchmark/laut/x-str-rep/22109/sink.smt2,0,0.115750
benchmark/laut/x-str-rep/9032/sink.smt2,t,0.0
benchmark/laut/x-str-rep/10206/sink.smt2,0,0.065760
benchmark/laut/x-str-rep/22336/sink.smt2,t,0.0
benchmark/laut/x-str-rep/20800/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/20094/sink.smt2,1,0.115808
benchmark/laut/x-str-rep/6361/sink.smt2,t,0.0
benchmark/laut/x-str-rep/15961/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/14053/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/31697/sink.smt2,1,0.065781
benchmark/laut/x-str-rep/17688/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/12115/sink.smt2,1,0.065373
benchmark/laut/x-str-rep/5169/sink.smt2,t,0.0
benchmark/laut/x-str-rep/17499/sink.smt2,1,0.165839
benchmark/laut/x-str-rep/19508/sink.smt2,t,0.0
benchmark/laut/x-str-rep/17647/sink.smt2,1,0.166733
benchmark/laut/x-str-rep/17172/sink.smt2,1,0.216362
benchmark/laut/x-str-rep/20731/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/16760/sink.smt2,1,1.217659
benchmark/laut/x-str-rep/30341/sink.smt2,t,0.0
benchmark/laut/x-str-rep/20707/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/2172/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/19543/sink.smt2,1,0.065530
benchmark/laut/x-str-rep/6345/sink.smt2,t,0.0
benchmark/laut/x-str-rep/4418/sink.smt2,1,0.115790
benchmark/laut/x-str-rep/22402/sink.smt2,t,0.0
benchmark/laut/x-str-rep/16749/sink.smt2,t,0.0
benchmark/laut/x-str-rep/23355/sink.smt2,1,0.116953
benchmark/laut/x-str-rep/12116/sink.smt2,1,0.115868
benchmark/laut/x-str-rep/22045/sink.smt2,t,0.0
benchmark/laut/x-str-rep/19062/sink.smt2,t,0.0
benchmark/laut/x-str-rep/29920/sink.smt2,t,0.0
benchmark/laut/x-str-rep/33040/sink.smt2,1,0.066181
benchmark/laut/x-str-rep/23425/sink.smt2,1,0.065630
benchmark/laut/x-str-rep/19352/sink.smt2,t,0.0
benchmark/laut/x-str-rep/22237/sink.smt2,t,0.0
benchmark/laut/x-str-rep/17778/sink.smt2,1,0.216951
benchmark/laut/x-str-rep/17961/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/16769/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/26239/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/16778/sink.smt2,1,1.467998
benchmark/laut/x-str-rep/3072/sink.smt2,0,0.066161
benchmark/laut/x-str-rep/31731/sink.smt2,1,0.065757
benchmark/laut/x-str-rep/19915/sink.smt2,1,0.065945
benchmark/laut/x-str-rep/14049/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/14064/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/29552/sink.smt2,t,0.0
benchmark/laut/x-str-rep/17756/sink.smt2,1,0.216822
benchmark/laut/x-str-rep/18061/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/20472/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/19671/sink.smt2,t,0.0
benchmark/laut/x-str-rep/15965/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/21244/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/17621/sink.smt2,1,0.165998
benchmark/laut/x-str-rep/18057/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/2176/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/32738/sink.smt2,1,0.065765
benchmark/laut/x-str-rep/26201/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/19875/sink.smt2,1,0.065421
benchmark/laut/x-str-rep/24834/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/18209/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/19398/sink.smt2,t,0.0
benchmark/laut/x-str-rep/20635/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/6350/sink.smt2,t,0.0
benchmark/laut/x-str-rep/24717/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/18998/sink.smt2,t,0.0
benchmark/laut/x-str-rep/19439/sink.smt2,t,0.0
benchmark/laut/x-str-rep/22277/sink.smt2,t,0.0
benchmark/laut/x-str-rep/22422/sink.smt2,t,0.0
benchmark/laut/x-str-rep/23671/sink.smt2,1,0.066263
benchmark/laut/x-str-rep/22002/sink.smt2,t,0.0
benchmark/laut/x-str-rep/22025/sink.smt2,t,0.0
benchmark/laut/x-str-rep/22092/sink.smt2,t,0.0
benchmark/laut/x-str-rep/17525/sink.smt2,1,0.166544